no,latitude,longitude,nama masjid,alamat,
1,-2.971098,104.718408,Masjid Baitul Jannah,Jl. Macan Kumbang IX No.5032 RT.44/RW.11 Siring Agung Kec. Ilir Bar. I Kota Palembang Sumatera Selatan 30138,
2,-2.959735,104.731787,Masjid Nurul Falah,Lorong Sei Leko Siring Agung Ilir Barat I Palembang City South Sumatra 30151,
3,-2.961.296,104.730258,Masjid Syuhada,Jl. Wira Jaya IV Siring Agung Kec. Ilir Bar. I Kota Palembang Sumatera Selatan 30151,
4,-2.963543,104.727097,Masjid Al-Ikhlas,Jl. Sei Hitam No.46 6 Siring Agung Kec. Ilir Bar. I Kota Palembang Sumatera Selatan 30138 ,
5,-2.959471,104.728312,Masjid Jami' Assholihin,Jl.sei Tali RT.2/RW.4 Siring Agung Kec. Ilir Bar. I Kota Palembang Sumatera Selatan,
6,-2.958946,104.731118,Masjid Al- Muhtadin,Siring Agung Kec. Ilir Bar. I Kota Palembang Sumatera Selatan,
7,-2.959034,104.734108,Masjid Al-Ikhlas,Jl. Letnan Kasnariansyah No.1335 20 Ilir D. IV Kec. Ilir Tim. I Kota Palembang Sumatera Selatan 30151,
8,-2.965073,104.730876,Masjid Samiul Huda,Jl. Enim No.1a Siring Agung Kec. Ilir Bar. I Kota Palembang Sumatera Selatan 30151 ,
9,-2.96582,104.729666,Musholla Jami' Al Hijrah,Jl. Masjid No.26 RT.29/RW.08 Demang Lebar Daun Kec. Ilir Bar. I Kota Palembang Sumatera Selatan 30137 ,
10,-2.962144,104.724646,Masjid Ar Rahman,Jl. Inspektur Marzuki No.2012 Siring Agung Kec. Ilir Bar. II Kota Palembang Sumatera Selatan 30151 ,
11,-3.014409,104.771744,Masjid Irhamna Kamilah,"Jl. Panca Usaha, 5 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30267",
12,-3.01451,104.768418,Masjid Istiqlal," 5 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30251",
13,-3.002663,104.761819,Masjid Mujahidin,"Lrg. Kedukan Jalan KHA. Wahid Hasyim, 5 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30256",
14,-3.000618,104.758755,Masjid Jami," Jl. KH. Azhari, 3-4 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30113",
15,-3.003739,104.760593,Masjid Al Farouk," 3-4 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30123",
16,-3.000205,104.779135,Masjid Al-Ma'rif,"Jl. Silaberanti No.16, Silaberanti, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30252",
17,-3.007099,104.761203,Masjid Musyawarah," Jl. H Faqih Usman, 3-4 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30254",
18,-3.003672,104.758467,Masjid Hidayatussholihin,"Jl. KH. Moh. Asyik, 3-4 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30254",
19,-3.008174,104.764896,Masjid Al Qodir,"Lorong Wakaf-1, 5 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30267",
20,-2.99301,104.755627,Masjid Al-Amanah,"Jl. Depaten Lama No.149, 27 Ilir, Kec. Ilir Bar. II, Kota Palembang, Sumatera Selatan 30125",
21,-3.033583,104.797217,Masjid Daarul Mukhlisin,Jl. Tegal Binangun,
22,-3.033233,104.79905,Masjid Nur Marfu'ah,Jl. Tegal Binangun,
23,-3.023683,104.804567,Masjid Nurul Hidayah,Jl. Tegal Binangun,
24,-3.025683,104.81045,Masjid Sirozul Anwar,Jl. Talang Petai,
25,-3.0285,104.809467,Masjid Sullamut Ta'lim,Jl. Talang Petai,
26,-3.02135,104.80725,Musholla Baitul Khoir,Jl. Tegal Binangun,
27,-3.018017,104.80965,Masjid Sirajul Munir,Jl. Tegal Binangun,
28,-3.01635,104.809017,Masjid Jamiatul Hasanah,Jl. Tegal Binangun,
29,-3.01485,104.812033,Masjid Husnul Khotimah,Jl. Tegal Binangun,
30,-3.01225,104.813483,Masjid Yardan Fawwaz,Jl. Tegal Binangun,
31,-2.96859,104.74864,Masjid Nurul Islam,Jl. Letnan Yasin,
32,-2.97168,104.74531,Masjid Nurul Huda,Jl. Kamboja,
33,-2.96649,104.74603,Masjid Misbahuddin,Jl. Kopral Umar Said,
34,-2.96442,104.74182,Masjid Al-Jihad,Jl. Ariodilah,
35,-2.96765,104.73916,Masjid Al-Mu'awwanah,Jl. Trikora,
36,-2.97063,104.74039,Masjid Al-Ikhlas,Jl. Swakarya,
37,-2.97228,104.74251,Masjid Maskanussalam,Jl. Pertiwi,
38,-2.97477,104.74351,Masjid Al-Mukhlis,Jl. Wijaya Kusuma,
39,-2.98415,104.74094,Masjid Jami Al-Isthithoah,Jl. Nias,
40,-2.98374,104.74341,Masjid Al-Washilah,Jl. Sambu,
41,-2.58146,104.48954,Masjid Nurul Iman,Jln Mayorzen lr.Iwari kecamatan Kalidoni,
42,-2.58119,104.48621,Masjid Adil Makmur,"Jl. May Zen No.144, Sei Selayur, Kec. Kalidoni, Kota Palembang",
43,-2.58266,104.4839,Masjid Nurul Falah,"Jl. Kapling III, Sei Selayur, Kec. Kalidoni, Kota Palembang,",
44,-2.58141,104.48528,Musholah Mua'afiqoh,Jln Mayor zen kecamatan kalidoni Depan PLN,
45,-2.57853,104.48735,Masjid Mufakat,Jln Mayor zen Lr.Mufakat Kecamatan kalidoni,
46,-2.58235,104.49535,Masjid Bhakti,"Jl. May Zen, Sei Lais, Kec. Kalidoni, Kota Palembang",
47,-2.58032,104.49266,Masjid Akbar," Jl. Taqwa Mata Merah, Sei Selincah, Kec. Kalidoni, Kota Palembang",
